What are the NNTs for anticonvulsants in neuropathic pain?	Card 1	(2015-09-30)	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~4000}} new {{c2::leukaemia}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 1	2015-11-22	Palliative Care SCE
Duloxetine is an {{c1::SNRI}} type of antidepressant, recommended for {{c2::diabetic neuropathy}}.	Cloze 1	2015-11-22	Palliative Care SCE
For pathological laughter and crying, second line treatment includes {{c1::amitriptyline or imipramine}} or {{c2::nortriptyline or levodopa}}.	Cloze 1	2015-11-22	Palliative Care SCE
If there is a history of {{c1::peptic ulcer and GI bleeding}} {{c2::in the last year}} the risks of NSAID related upper GI complications are significantly increased.	Cloze 1	2015-11-22	Palliative Care SCE
If there is long-term use of {{c1::max doses of NSAID}}, the risks of NSAID related upper GI complications are significantly increased.	Cloze 1	2015-11-22	Palliative Care SCE
Patients who are postmenopausal and have completed five years of tamoxifen may be considered for extended (five years) treatment with {{c1::letrozole}}.	Cloze 1	2015-11-22	Palliative Care SCE
Use of NSAIDs with methotrexate can cause it to {{c1::accumulate}}, increasing the risk of {{c2::severe renal toxicity}}.	Cloze 1	2015-11-22	Palliative Care SCE
Which NSAID doesn't increase cardiovascular risk?	Card 1	2015-11-22	Palliative Care SCE
Tramadol can {{c1::lower}} the seizure threshold, especially in combination with {{c2::SSRIs}}, {{c3::TCAs}} or {{c4::antipsychotics}}.	Cloze 1	2015-11-22	Palliative Care SCE
Morphine-6-glucronide is an {{c1::active}} metabolite, which binds to {{c2::opioid}} receptors.	Cloze 1	2015-11-22	Palliative Care SCE
Both buprenorphine and fentanyl are {{c1::fat}} soluble.	Cloze 1	2015-11-22	Palliative Care SCE
The prevalence of oral yeast in patients with advanced cancer is {{c1::~50-90%}}.	Cloze 1	2015-11-22	Palliative Care SCE
The commonest cause of UTIs is from the organism {{c1::E. coli.}}	Cloze 1	2015-11-22	Palliative Care SCE
In the community, in non-catheterised women, three symptoms independently predict UTI: 1. {{c1::cloudy urine}} 2. {{c2::dysuria}} 3. {{c3::recent-onset nocturia}}	Cloze 1	2015-11-22	Palliative Care SCE
In {{c1::breast cancer}}, {{c2::zolendronate}}, given monthly for 1 year reduces the risk of a skeletal related event by {{c3::~40%}} when compared with placebo.	Cloze 3	2015-11-22	Palliative Care SCE
{{c3::Hydrocortisone}} has {{c1::glucocorticoid}} activity and mild {{c2::mineralocorticoid}} activity.	Cloze 3	2015-11-22	Palliative Care SCE
Somatostatin analogues are used for the treatment of {{c1::acromegaly}}, {{c2::carcinoid}}, {{c3::VIPomas}} and {{c4::glucagonomas}}.	Cloze 2	2015-11-22	Palliative Care SCE
In thalidomide-induced peripheral neuropathy: 1. {{c1::Strength}} is preserved 2. Mild decrease in {{c2::sensation}} distally 3. Reflexes, especially {{c3::ankle jerks}}, may be {{c3::depressed/absent}} 4. {{c4::Distal -> proximal}} progression	Cloze 4	2015-11-22	Palliative Care SCE
Dantroline acts directly on {{c1::skeletal muscles}} by binding to {{c2::ryanodine}} receptors.	Cloze 1	2015-11-22	Palliative Care SCE
Dantrolene use should be monitored with {{c1::LFTs}}.	Cloze 1	2015-11-22	Palliative Care SCE
How many children worldwide could benefit from palliative care?	Card 1	2015-11-22	Palliative Care SCE
A rotigotine patch will need to be removed before an {{c1::MRI}} scan.	Cloze 1	2015-11-22	Palliative Care SCE
A patient with uterine cancer presents with a facial rash:  Dermatomyositis13.jpg  What is the paraneoplastic syndrome?	Card 1	2015-11-22	Palliative Care SCE
Dermatomyositis is a paraneoplastic disease which is associated with the following cancers: - {{c1::Lung}} - {{c2::Breast}} - {{c3::Ovarian}} - {{c4::pancreas}} - {{c5::stomach}} - {{c6::colorectal}} - {{c7::NHL}}	Cloze 4	2015-11-22	Palliative Care SCE
Mx of terminal haemorrhage	Card 1	2015-11-23	Palliative Care SCE
What is the evidence for opioids for breathlessness?	Card 1	2015-11-23	Palliative Care SCE
What is the QT length which makes you vulnerable to torsade de pointes?	Card 1	2015-11-23	Palliative Care SCE
What is the annual mortality for Stage 5 CKD?	Card 1	2015-11-23	Palliative Care SCE
What is the evidence for a NSAID safe in renal failure?	Card 1	2015-11-23	Palliative Care SCE
What is the evidence  for routine  anticoagulants in indwelling venous catheters?	Card 1	2015-11-23	Palliative Care SCE
What is the treatment of spasticity in MS?	Card 1	2015-11-23	Palliative Care SCE
What is Casuistry?	Card 1	2015-11-23	Palliative Care SCE
Which scenarios would an ADRT not apply?	Card 1	2015-11-23	Palliative Care SCE
According to NICE, to whom should anti-muscarinic drugs be considered in urinary incontinence in the context of a neurological disorder?	Card 1	2015-11-23	Palliative Care SCE
In the Cochrane Review 'Insertion of a stent improves symptoms in superior vena cava obstruction caused by lung cancer, while chemotherapy and radiotherapy can also be effective (2001)' what is the proportion of patients who report relief after stent insertion?	Card 1	2015-11-23	Palliative Care SCE
In the Cochrane Review 'Bisphosphonates in multiple myeloma (2011)', what is the NNT to prevent pathological vertebral fractures?	Card 1	2015-11-23	Palliative Care SCE
What is the evidence for parasympathomimetic drugs in the treatment of salivary dysfunction due to radiotherapy?	Card 1	2015-11-23	Palliative Care SCE
What is the level of evidence for the pharmacological and non-pharmacological treatment of intractable hiccups (>48h)?	Card 1	2015-11-23	Palliative Care SCE
What is the evidence for the use of drug therapy for delirium in terminally ill patients?	Card 1	2015-11-23	Palliative Care SCE
What is the level of evidence for neuromuscular stimulation and chest wall vibration in breathlessness?	Card 1	2015-11-23	Palliative Care SCE
What is the level of evidence for fans, relaxation, councelling and psychotherapy in breathlessness?	Card 1	2015-11-23	Palliative Care SCE
According the DVLA, for how long should a licence holder not drive after a loss of consciousness in vasovagal syncope?	Card 1	2015-11-23	Palliative Care SCE
If a person has angina, what is the effect on their licence to drive?	Card 1	2015-11-23	Palliative Care SCE
What are the side effects of abiraterone?	Card 1	2015-11-23	Palliative Care SCE
What is the mode of action of gefitinib/erlotinib?	Card 1	2015-11-23	Palliative Care SCE
A person who is short of breath when hurrying or walking up a slight hill is graded on the MRC breathlessness scale at {{c1::2}}.	Cloze 1	2015-11-23	Palliative Care SCE
Riluzole extends tracheostomy-free survival by {{c1::2-4 months}} after {{c2::18 months}} of treatment.	Cloze 2	2015-11-23	Palliative Care SCE
Aim to insert a PEG into patients with MND, before their {{c1::FVC <50%}} or {{c2::aspiration pneumonia}} or {{c3::significant weight loss}}.	Cloze 3	2015-11-23	Palliative Care SCE
{{c1::Risperidone}} is the only licenced antipsychotic used in dementia. The licence is for {{c2::6 weeks}}, NICE recommend up to {{c3::12 weeks}}.	Cloze 1	2015-11-23	Palliative Care SCE
{{c1::Risperidone}} is the only licenced antipsychotic used in dementia. The licence is for {{c2::6 weeks}}, NICE recommend up to {{c3::12 weeks}}.	Cloze 3	2015-11-23	Palliative Care SCE
Eve has an area of skin which appears to be an ulcer. There is Full thickness skin loss with visible subcutaneous fat. Bone, tendon and muscle are not exposed.   She has a {{c1::Grade 3}} pressure ulcer.	Cloze 1	2015-11-23	Palliative Care SCE
The GFR level where a patient would start dialysis is {{c1::~9}}.	Cloze 1	2015-11-23	Palliative Care SCE
In patients with lymphoedema who have cellulitis, antibiotics should be continued for {{c1::14 days}}.	Cloze 1	2015-11-23	Palliative Care SCE
Sativex is a Schedule {{c1::4}} drug, which is subject to {{c2::full export/import control}}.	Cloze 2	2015-11-23	Palliative Care SCE
In cordotomy, {{c2::1 in 20}} patients can experience weakness for up to {{c1::4 weeks}} post procedure.	Cloze 1	2015-11-23	Palliative Care SCE
{{c1::Bleomycin}} is an {{c2::alternative sclerosant}} for pleurodesis with a modest efficacy rate.	Cloze 2	2015-11-23	Palliative Care SCE
Lambert-Eaton syndrome is a {{c1::paraneoplastic syndrome}}. It occurs when antibodies are formed against {{c2::presynaptic}} {{c3::calcium channels}}.	Cloze 3	2015-11-23	Palliative Care SCE
In Lambert-Eaton syndrome, {{c1::distal tendon reflexes}} are {{c2::reduced}} or {{c3::absent}}.	Cloze 3	2015-11-23	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~3000}} new {{c2::leukaemia}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 1	2015-11-23	Palliative Care SCE
The antibacterials {{c1::linezolid}} and {{c2::furazolidone}} have clinically relevant serotinergic activity.	Cloze 1	2015-11-23	Palliative Care SCE
Antidepressant discontinuation syndrome is most common in {{c1::paroxetine}}.	Cloze 1	2015-11-23	Palliative Care SCE
Nortriptyline is a {{c1::noradrenaline reuptake inhibitor}} and a {{c2::TCA}}.	Cloze 2	2015-11-23	Palliative Care SCE
In patients with superior vena cava obstruction due to NSCLC, {{c1::stenting}} may be considered as a primary treatment.	Cloze 1	2015-11-23	Palliative Care SCE
A {{c1::meta-analysis}} showed that with nabumetone, GI events were {{c2::10-36x}} less likely than other NSAIDs.	Cloze 1	2015-11-23	Palliative Care SCE
There is {{c1::no need}} pharmacologically for {{c2::Step 2}} of the WHO pain ladder.	Cloze 1	2015-11-23	Palliative Care SCE
Pruritus from systemic opioids is caused by what?	Card 1	2015-11-23	Palliative Care SCE
Metronidazole produces a {{c2::disulfram-like}} reaction in about {{c1::25%}} of patients.	Cloze 1	2015-11-23	Palliative Care SCE
NICE Guidelines suggest {{c1::bisphosphonates}} are given to men with prostate cancer who are receiving {{c2::androgen deprivation therapy}} who also have {{c3::osteoporosis}}.	Cloze 3	2015-11-23	Palliative Care SCE
The diagnosis of SIADH is based on: {{c1::1. Hyponatraemia <130}} {{c2::2. Low plasma osmolality <270}} {{c3::3. High urine osmolality >20}} {{c4::4. Euvolaemic}}	Cloze 2	2015-11-23	Palliative Care SCE
Somatostatin analogues are used for the treatment of {{c1::acromegaly}}, {{c2::carcinoid}}, {{c3::VIPomas}} and {{c4::glucagonomas}}.	Cloze 1	2015-11-23	Palliative Care SCE
Cachexia is defined as: 1. Loss of {{c1::skeletal muscle and body fat}} 2. Loss which {{c2::cannot be reversed by conventional nutritional support}}.	Cloze 2	2015-11-23	Palliative Care SCE
Low-grade {{c1::peripheral neuropathy}} occurs in {{c2::>80%}} of patients receiving {{c3::thalidomide}}.	Cloze 2	2015-11-23	Palliative Care SCE
In thalidomide-induced peripheral neuropathy: 1. {{c1::Strength}} is preserved 2. Mild decrease in {{c2::sensation}} distally 3. Reflexes, especially {{c3::ankle jerks}}, may be {{c3::depressed/absent}} 4. {{c4::Distal -> proximal}} progression	Cloze 3	2015-11-23	Palliative Care SCE
{{c1::Thalidomide and lenalidomide}} increase the risk of {{c2::VTE}} in patients with {{c3::multiple myeloma}}.	Cloze 3	2015-11-23	Palliative Care SCE
With thalidomide, contraception should be used: 1. More than {{c1::4 weeks before}} starting treatment 2. {{c2::During treatment}} 3. {{c3::4 weeks after}} stopping treatment	Cloze 3	2015-11-23	Palliative Care SCE
The typical dietary intake of potassium is {{c1::40-80}}mmol.	Cloze 1	2015-11-23	Palliative Care SCE
C fibers are {{c1::unmyelinated}}, have a {{c2::small diameter}} and {{c3::low conduction}} velocity.	Cloze 2	2015-11-23	Palliative Care SCE
Baclofen should be {{c1::dose-reduced}} in {{c2::renal impairment}}.	Cloze 1	2015-11-23	Palliative Care SCE
What is the conversion rate of oral morphine to alfentanyl?	Card 1	2015-11-23	Palliative Care SCE
{{c1::pH paper}} is used to check the correct position of an NG tube.	Cloze 1	2015-11-23	Palliative Care SCE
The diagnosis of cancer-cachexia is any of the following: 1. Weight loss >{{c1::5}}% over the past {{c1::6}} months 2. BMI <{{c2::20}} and weight loss of >{{c2::2}}% 3. {{c3::Sarcopenia}} and weight loss >{{c4::2}}%	Cloze 3	2015-11-23	Palliative Care SCE
What BMI is a high-risk for refeeding syndrome?	Card 1	2015-11-23	Palliative Care SCE
If a patient is leaving/entering the UK for <3 months and carrying <3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:   1. Patient's {{c1::name, address and date of birth}} 2. Destinations and dates of {{c2::outward}} and {{c2::return}} travel 3. {{c3::Names}}, {{c4::forms}}, {{c5::strengths}} {{c6::and total amounts}} of the drugs being carried.	Cloze 3	2015-11-23	Palliative Care SCE
In depression, exposure to the {{c2::suicidal behaviour}} of others, directly or indirectly (i.e. via the media) is a risk for {{c1::suicide}}.	Cloze 1	2015-11-23	Palliative Care SCE
In depression, access to potentially lethal means of {{c1::self-harm or suicide}}, is a risk for suicide.	Cloze 1	2015-11-23	Palliative Care SCE
A woman with radically treated bowel cancer reports a sudden disappearance of a rash. She has not started any recent medications. On previous review prior to treatment, your colleague noted:   - sudden appearence of multiple seborrhaeic keratoses   There is a photo of the resolved rash:  leser-trelat-sign-aparaneoplastic-syndrome4.jpg  What paraneoplastic syndrome is this?	Card 1	2015-11-23	Palliative Care SCE
What is the inital management of delirium tremens according to NICE?	Card 1	2015-11-24	Palliative Care SCE
Within what time does a response have to be given in a Data Protection request?	Card 1	2015-11-24	Palliative Care SCE
In non cancer surgical patients :   a) above what period of time should prophylactic lmwh be given?  b) for how long?	Card 1	2015-11-24	Palliative Care SCE
What are the absolute contraindications to organ donation?	Card 1	2015-11-24	Palliative Care SCE
What are the different theories of learning?	Card 1	2015-11-24	Palliative Care SCE
What are the signs of neuroleptic malignant syndrome?	Card 1	2015-11-24	Palliative Care SCE
In the Cochrane Review 'Coeliac plexus block for pain in pancreatic cancer (2012)' what is the level of evidence?	Card 1	2015-11-24	Palliative Care SCE
According to Cochrane Reviews, what is the effect of the treatment of excessive saliva by botox in MND?	Card 1	2015-11-24	Palliative Care SCE
What is the level of evidence that oxycodone is effective in cancer pain?	Card 1	2015-11-24	Palliative Care SCE
What is the evidence for pharmacological treatments in managing fatigue associated with palliative care?	Card 1	2015-11-24	Palliative Care SCE
If a person has ACS/NSTEMI, what is the effect on their licence to drive?	Card 1	2015-11-24	Palliative Care SCE
If a person has severe anxiety/depression, what is the effect on their licence to drive?	Card 1	2015-11-24	Palliative Care SCE
If a person has evidence of drug misuse of opiates/BZD/ketamine, what is the effect on their licence to drive?	Card 1	2015-11-24	Palliative Care SCE
What is the marketing authorisation for aprepitant?	Card 1	2015-11-24	Palliative Care SCE
Which chemotherapies are there a risk of irreversible cardiomyopathy?	Card 1	2015-11-24	Palliative Care SCE
What are the effects of anti-oestrogens like tamoxifen?	Card 1	2015-11-24	Palliative Care SCE
The best antiemetic in Parkinson's disease is {{c1::domperidone}} as it {{c2::does not cross the blood brain barrier}}, or {{c3::ondansetron/granisetron}}, or {{c4::anti-muscarinics}}.	Cloze 3	2015-11-24	Palliative Care SCE
For bladder dysfunction, UTIs should be {{c1::treated actively}}, but there is {{c2::no role for prophalactic antibiotics}}.	Cloze 2	2015-11-24	Palliative Care SCE
In COPD, patients should be assessed for LTOT when their sats are {{c1::<92%}}, their {{c2::FEV1 <30%}} or there is evidence of {{c3::cyanosis}}, {{c4::polycythaemia}}, {{c5::peripheral oedema}} or {{c6::raised JVP}}.	Cloze 6	2015-11-24	Palliative Care SCE
Bill is completely disabled; cannot carry on any selfcare and totally confined to bed or chair.   His Eastern Cooperative Oncology Group score is {{c1::4}}.	Cloze 1	2015-11-24	Palliative Care SCE
In the NICE guidelines for dementia, regarding behaviours which challenge, most of these will usually stop after {{c1::4 weeks}} with no treatment.	Cloze 1	2015-11-24	Palliative Care SCE
In the management of behaviours which challenge in the context of dementia, BZDs have {{c1::no evidence of benefit}} and may {{c2::increase risk of a fall}}.	Cloze 2	2015-11-24	Palliative Care SCE
What eGFR does a patient with Stage 5 kidney disease have?	Card 1	2015-11-24	Palliative Care SCE
A Caldecott Guardian's role is to ensure the {{c1::highest practical standards for handling patient identifiable information}}.	Cloze 1	2015-11-24	Palliative Care SCE
In Lambert-Eaton syndrome {{c1::weakness}} improves with {{c2::contraction}}.	Cloze 2	2015-11-24	Palliative Care SCE
In Lambert-Eaton syndrome, {{c1::muscle power}} {{c2::improves with repeated testing}}.	Cloze 1	2015-11-24	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~280000}} new cancer diagnoses registered in England, in 2012.	Cloze 1	2015-11-24	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~6500}} new {{c2::bladder cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 2	2015-11-24	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~5000}} new {{c2::renal cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 3	2015-11-24	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~3000}} new {{c2::renal cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 3	2015-11-24	Palliative Care SCE
What level of spinal lesion can result in autonomic dysreflexia?	Card 1	2015-11-24	Palliative Care SCE
In autonomic dysreflexia, {{c1::sympathetic overactivity}} below a spinal lesion above the level of T6 can result in {{c2::parasympathetic overactivity}} above the lesion.	Cloze 2	2015-11-24	Palliative Care SCE
{{c1::Venaflaxine}} and {{c2::SSRIs}} are useful for hot flushes associated with menopause, hormone therapy and androgen-ablation therapy for prostate cancer.	Cloze 2	2015-11-24	Palliative Care SCE
Paraneoplastic fevers respond to all NSAIDs except {{c1::naproxen}}.	Cloze 1	2015-11-24	Palliative Care SCE
If there is concurrent use of an NSAID with a {{c1::steroid}}, {{c2::low-dose aspirin}} or {{c3::anticoagulant}}, the risks of NSAID related upper GI complications are significantly increased.	Cloze 1	2015-11-24	Palliative Care SCE
Nabumetone has {{c1::no effect}} on platelet aggregation in clinical studies.	Cloze 1	2015-11-24	Palliative Care SCE
A {{c1::meta-analysis}} showed that with nabumetone, GI events were {{c2::10-36x}} less likely than other NSAIDs.	Cloze 2	2015-11-24	Palliative Care SCE
There is {{c1::no need}} pharmacologically for {{c2::Step 2}} of the WHO pain ladder.	Cloze 2	2015-11-24	Palliative Care SCE
Fluoxetine and paroxetine are hepatic enzyme {{c1::inhibitors}} and will cause {{c3::codeine, dihydrocodine and tramadol}} to have a {{c2::diminished effect}}.	Cloze 1	2015-11-24	Palliative Care SCE
{{c3::Hydrocortisone}} has {{c1::glucocorticoid}} activity and mild {{c2::mineralocorticoid}} activity.	Cloze 2	2015-11-24	Palliative Care SCE
The symptoms of steroid psychosis can occur {{c1::4-6 days}} after initating treatment.	Cloze 1	2015-11-24	Palliative Care SCE
{{c2::Octreotide}} inhibits {{c1::vascular endothelial growth}}.	Cloze 2	2015-11-24	Palliative Care SCE
Severe chemotherapy/radiotherapy-related diarrhoea is defined as: 1. {{c1::>7 stools/day over baseline}} 2. {{c2::Hospital admission}} 3. {{c3::IV fluids}}	Cloze 3	2015-11-24	Palliative Care SCE
{{c1::Impotence}} can occur in {{c2::10-25%}} of men who take {{c3::megesterol acetate}}.	Cloze 2	2015-11-24	Palliative Care SCE
The adverse effects of megesterol acetate are {{c1::oedema}}, {{c2::VTE}} and {{c3::death}}.	Cloze 3	2015-11-24	Palliative Care SCE
The concurrent use of danazol (anabolic steroid) and a statin has been associated with: 1. {{c1::acute renal impairment}} 2. {{c2::pancreatitis}} 3. {{c3::Rhabomyolysis}}	Cloze 1	2015-11-24	Palliative Care SCE
The concurrent use of danazol (anabolic steroid) and a statin has been associated with: 1. {{c1::acute renal impairment}} 2. {{c2::pancreatitis}} 3. {{c3::Rhabomyolysis}}	Cloze 3	2015-11-24	Palliative Care SCE
{{c1::Thalidomide and lenalidomide}} increase the risk of {{c2::VTE}} in patients with {{c3::multiple myeloma}}.	Cloze 1	2015-11-24	Palliative Care SCE
{{c1::Thalidomide and lenalidomide}} increase the risk of {{c2::VTE}} in patients with {{c3::multiple myeloma}}.	Cloze 2	2015-11-24	Palliative Care SCE
Cisplatin can cause a {{c2::low serum}} {{c1::magnesium}}.	Cloze 1	2015-11-24	Palliative Care SCE
To treat acute dystonia caused by antipsychotics: 1. {{c1::Stop, switch or reduce}} the causative drug 2. Immediate relief - {{c2::diazepam 5mg iv}} or {{c2::procyclidine 5-10mg IM}} 3. Follow this with {{c3::orphenadrine 50mg BD}} for one week.	Cloze 2	2015-11-24	Palliative Care SCE
NICE recommends nutritional support for patients with: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::10%}} in the last {{c2::3-6}} months - BMI <{{c3::20}} and unintentional weight loss of >{{c3::5%}} - Inadequate oral intake for >{{c4::5}} days - {{c5::malabsorption}}, increased {{c5::nutrient}} losses, increased {{c5::catabolism}}.	Cloze 1	2015-11-24	Palliative Care SCE
Patients who have two or more of the following are at high risk of refeeding syndrome: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::15}}% in the past {{c2::3-6}} months - Little to no nutritional intake for >{{c3::5}} days - Hx of {{c4::ETOHXS}}, {{c5::drug abuse}}, {{c6::IDDM}}, concurrent {{c7::chemotherapy}}, {{c8::antacids}}, {{c9::diuretics}}	Cloze 5	2015-11-24	Palliative Care SCE
If a patient is leaving/entering the UK for <3 months and carrying <3 months supply of Schedule 2, 3, or 4 drugs, what does the covering letter from the doctor needs to state:   1. Patient's {{c1::name, address and date of birth}} 2. Destinations and dates of {{c2::outward}} and {{c2::return}} travel 3. {{c3::Names}}, {{c4::forms}}, {{c5::strengths}} {{c6::and total amounts}} of the drugs being carried.	Cloze 2	2015-11-24	Palliative Care SCE
If a patient flying abroad needs to carry liquid medication >100ml, can they do so?	Card 1	2015-11-24	Palliative Care SCE
What condition causes this?  Dermatomyositis9.jpg	Card 1	2015-11-24	Palliative Care SCE
What requires monitoring if clozapine is started?	Card 1	2015-11-24	Palliative Care SCE
METOCLOPROMIDE method of action	Card 1	2015-11-25	Palliative Care SCE
What percentage of people die in hospital?	Card 1	2015-11-25	Palliative Care SCE
What needs monitoring when starting riluzole?	Card 1	2015-11-25	Palliative Care SCE
According to the ONS, 'old age' can be given as the sole cause of death when?	Card 1	2015-11-25	Palliative Care SCE
What are the symptoms of serotonin syndrome?	Card 1	2015-11-25	Palliative Care SCE
What does a cordotomy target?	Card 1	2015-11-25	Palliative Care SCE
In adult basic life support, what is the ratio of breaths to chest compressions?	Card 1	2015-11-25	Palliative Care SCE
In the Cochrane review for radiotherapy for painful bone mets (2008) what is the percentage of patients who have a complete response?	Card 1	2015-11-25	Palliative Care SCE
What is the evidence that oral morphine is efficacious in cancer pain?	Card 1	2015-11-25	Palliative Care SCE
What is the efficacy of exercise in the management of cancer-related fatigue?	Card 1	2015-11-25	Palliative Care SCE
What is the evidence for the use of clonazepam in neuropathic pain/fibromyalgia?	Card 1	2015-11-25	Palliative Care SCE
What is the level of evidence for NSAIDS or paracetamol in cancer pain?	Card 1	2015-11-25	Palliative Care SCE
What is the marketing authorisation of melatonin?	Card 1	2015-11-25	Palliative Care SCE
When should aromatase inhibitors (exemestane, anastrazole, letrozole) be used?	Card 1	2015-11-25	Palliative Care SCE
The best antiemetic in Parkinson's disease is {{c1::domperidone}} as it {{c2::does not cross the blood brain barrier}}, or {{c3::ondansetron/granisetron}}, or {{c4::anti-muscarinics}}.	Cloze 2	2015-11-25	Palliative Care SCE
For bladder dysfunction, UTIs should be {{c1::treated actively}}, but there is {{c2::no role for prophalactic antibiotics}}.	Cloze 1	2015-11-25	Palliative Care SCE
The EAPC document on depression in heart failure recommends {{c1::SSRIs}}, {{c2::sertraline}} or {{c3::mirtazapine}}.	Cloze 2	2015-11-25	Palliative Care SCE
Riluzole extends tracheostomy-free survival by {{c1::2-4 months}} after {{c2::18 months}} of treatment.	Cloze 1	2015-11-25	Palliative Care SCE
Schedule 1 drugs have {{c1::no recognised medical use}}	Cloze 1	2015-11-25	Palliative Care SCE
Phenobarbitone is a Schedule {{c1::3}} drug.	Cloze 1	2015-11-25	Palliative Care SCE
In Lambert-Eaton syndrome {{c1::weakness}} improves with {{c2::contraction}}.	Cloze 1	2015-11-25	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~15000}} new {{c2::colon/rectum cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 2	2015-11-25	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~6500}} new {{c2::bladder cancer}} diagnoses {{c3::in men}} registered in England, in 2012.	Cloze 3	2015-11-25	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~6000}} new {{c2::ovarian cancer}} diagnoses registered in England, in 2012.	Cloze 2	2015-11-25	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~4000}} new {{c2::pancreatic cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 2	2015-11-25	Palliative Care SCE
A {{c1::superior hypogastric plexus block}} may help pain arising from {{c2::pelvic organs}}.	Cloze 2	2015-11-25	Palliative Care SCE
{{c1::Splanchnic nerve blocks}} may help with {{c2::upper gastrointestinal}} pain.	Cloze 1	2015-11-25	Palliative Care SCE
Cordotomy is more effective for {{c1::nociceptive}} than for neuropathic pain syndromes.	Cloze 1	2015-11-25	Palliative Care SCE
Patients with SCLC should be considered for palliative {{c1:: thoracic radiotherapy}} if they have significant {{c2::chest symptoms}} and other treatments have been ineffective or are considered inappropriate.	Cloze 2	2015-11-25	Palliative Care SCE
Patients who have advanced disease, are performance status 0-1, have predominantly non-squamous NSCLC and are EGFR mutation {{c2::negative}} should be offered combination systemic anticancer therapy with {{c1::cisplatin and pemetrexed}}.	Cloze 2	2015-11-25	Palliative Care SCE
Second line systemic anticancer therapy with single agent {{c1::docetaxel or erlotinib}} should be considered for patients with performance status 0-2 recurrent NSCLC who have been previously treated with {{c2::first line agents}}.	Cloze 1	2015-11-25	Palliative Care SCE
Which NSAID carries the highest risk of gastritis or duodenitis?	Card 1	2015-11-25	Palliative Care SCE
Methadone {{c1::prolongs}} the QT interval.	Cloze 1	2015-11-25	Palliative Care SCE
The ratio of methadone to morphine is {{c1::1:5-10}}, but try to use the more conservative ratio.	Cloze 1	2015-11-25	Palliative Care SCE
Naltrexone can be used for {{c1::cholestatic}} pruritus.	Cloze 1	2015-11-25	Palliative Care SCE
Somatostatin analogues are used for the treatment of {{c1::acromegaly}}, {{c2::carcinoid}}, {{c3::VIPomas}} and {{c4::glucagonomas}}.	Cloze 3	2015-11-25	Palliative Care SCE
Low-grade {{c1::peripheral neuropathy}} occurs in {{c2::>80%}} of patients receiving {{c3::thalidomide}}.	Cloze 3	2015-11-25	Palliative Care SCE
In thalidomide-induced peripheral neuropathy: 1. {{c1::Strength}} is preserved 2. Mild decrease in {{c2::sensation}} distally 3. Reflexes, especially {{c3::ankle jerks}}, may be {{c3::depressed/absent}} 4. {{c4::Distal -> proximal}} progression	Cloze 2	2015-11-25	Palliative Care SCE
Ketamine causes hepatic enzyme {{c1::induction}}.	Cloze 1	2015-11-25	Palliative Care SCE
What is the maximum mortality attributable to pprolonged QT?	Card 1	2015-11-25	Palliative Care SCE
To treat acute dystonia caused by antipsychotics: 1. {{c1::Stop, switch or reduce}} the causative drug 2. Immediate relief - {{c2::diazepam 5mg iv}} or {{c2::procyclidine 5-10mg IM}} 3. Follow this with {{c3::orphenadrine 50mg BD}} for one week.	Cloze 3	2015-11-25	Palliative Care SCE
What % weight loss over 3-6 months is a high risk for refeeding syndrome?	Card 1	2015-11-25	Palliative Care SCE
Patients who have two or more of the following are at high risk of refeeding syndrome: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::15}}% in the past {{c2::3-6}} months - Little to no nutritional intake for >{{c3::5}} days - Hx of {{c4::ETOHXS}}, {{c5::drug abuse}}, {{c6::IDDM}}, concurrent {{c7::chemotherapy}}, {{c8::antacids}}, {{c9::diuretics}}	Cloze 4	2015-11-25	Palliative Care SCE
If a depressed patient has a history of {{c1::previous suicide attempts}} or {{c2::self harm}}, they are a {{c3::high}} risk for suicide.	Cloze 3	2015-11-25	Palliative Care SCE
A patient with colorectal cancer reports a sudden appearence of a lumpy rash on his back. On examination, you see this:  Seborrheic_keratosis_on_human_back.jpg  What is this sign called?	Card 1	2015-11-25	Palliative Care SCE
Dosage and uses of CYCLIZINE	Card 1	2015-11-26	Palliative Care SCE
