"<font color=""#800080"">Causes of pain in palliative care</font>"	Soft tissue<div><br /></div><div>Visceral</div><div><br /></div><div>Nervous</div><div><br /></div><div>Bone</div><div><br /></div><div>Spasm</div><div><br /></div><div>Raised IC pressure</div><div><br /></div><div>Exacerbated by PSYCH, SOCIAl, SPIRITUAL factors</div>
According to NICE, the management of prostate cancer after gosrelin and bicalutamide is?	Docetaxel, but only in men who have progressed on the above, and have a Karnofsky status of 60% or more.&nbsp;<div>10 cycles should be completed.</div><div>It should be stopped at the completion of 10 cycles, adverse reactions or with evidence of disease progression.&nbsp;</div>
What is the QT length which makes you vulnerable to torsade de pointes?	500ms
What is arimidex (anastrozole)?	Non-steroidal aromatase inhibitor
What is&nbsp;Trastuzumab?	A monoclonal antibody.&nbsp;<div>All -mabs are antibodies.</div>
What is loperamide's mode of action?	Mu-receptor agonist.<div>Completely metabolised by first-pass metabolism (CP450) in the liver</div>
What is the level of evidence regarding laxatives and palliative care?	Grade 4 - Consensus, best practice and expert opinion
What is the mode of action of methylnaltrexone?	Peripherally acting mu-receptor antagonist.<div>Used for opioid-related constipation refractory to usual laxatives</div><div>Given SC</div><div>Expensive</div>
In Scotland, what are the three types of power of attorney?	1. Continuing PoA – gives powers to deal with money and/or property<div>2.&nbsp;Welfare PoA – gives powers to make decisions around health or personal welfare matters, only when the person has lost capacity</div><div>3.&nbsp;Combined PoA – gives continuing and welfare powers</div>
What information can you request  under the Freedom of information act? 	Information about the running of an institution eg audit data. 
Within what time period does an institution have to respond to a Freedom of information request? 	20 days
What information can be requested in a Data Protection Act request? 	Personal and confidential data about the requestee only,  or by a named deputy (this has to be confirmed in writing).
Within what time does a response have to be given in a Data Protection request? 	40 days
What is an ordinary power of attorney? 	A document which allows the holder to deal with specific financial decisions whilst the donor has capacity. 
In England and Wales, what types of Lasting power of attorney are there? 	1. Property and Affairs LPA. Entrusts the named person with the responsibility of handling money and property.  Can be when donor has / lacks capacity<br><br>2. Personal Welfare LPA. Decisions re health, welfare and / or treatment. Only when donor has lost capacity. 
What must an LPA be in order to be valid? 	Registered at the Office of the Public Guardian. 
What is the annual mortality for Stage 5 CKD? 	20%
What is the survival benefit of dialysis in patients between 70 and 78?	2 years
What is the survival benefit of dialysis of patients over 79? 	None
What is the median survival on stopping dialysis? 	8 to 10 days
What is the evidence for a NSAID safe in renal failure? 	There is no evidence for a NSAID safe in renal failure. 
What is the EAPC advice regards opioids in an EGFR below 30? 	First choice is fentanil or bupronorphine.
What other drugs have to be reduced in renal failure other than opioids? 	Definitely:<br>insulin<br>digoxin<br>anticoagulants<br><br>Maybe:<br>Gabapentin<br>Pregabalin<br>Amitriptyline<br>Alfentanil (larger free fraction) <br>Metaclopromide
Are pregabalin and gabapentin dialysed out? 	Yes!<br>An extra dose is often required after a dialysis session. 
At what eGFR is itch likely to develop? 	12
What happens to the blood brain barrier in renal failure? 	Increased permeability, so increased risk of CNS side effects. 
What is the max dose of paracetamol in 24h in an eGFR less than 10? 	3g. May be nephrotoxic in high doses. 
What is the equivalent of the IT route to oral route of morphine? 	1:100
Which antipsychotic has the highest risk of extrapyramidal side effects? 	Risperidone
Which is the safest antidepressant to use in epilepsy? 	Citalopram
What is the normal QT interval? 	men <430ms<br>women <450ms<br><br>Above 500ms is high risk for dysrhythmias.
In non cancer surgical patients : <br><br>a) above what period of time should prophylactic lmwh be given?<br><br>b) for how long?  	a) 3 days<br>b) 2 weeks 
What is the evidence  for routine  anticoagulants in indwelling venous catheters? 	RCTs show no benefit in lmwh or warfarin use. 
What is DIC? 	Disseminated intravascular coagulation. Defined by :<br><br>- thrombopenia (<150 in 95%)<br>- decreased or normal fibrinogen<br>- low D -dimers in 85 %
What is the treatment of chronic DIC? 	LMWH
How does chronic DIC present? 	Venous thromboembolism in both superficial and deep veins, which do not respond to warfarin. 
What is the mode of action of tranexemic acid? 	Bind to plasminogen and prevents its binding to fibrin. 
What is the mode of action of etamsylate? 	Increasing capillary vascular wall resistance and adhesiveness of platelets .
Do you need to dose reduce tranexemic acid in renal failure? 	yes! 
What is the effect of desmopressin?	ADH antagonist<br>Augments platelet function 
What is the treatment of spasticity in MS? 	1st line : baclofen<br>2nd line : dantroline, tizanadine<br>3rd line : benzodiazepines<br><br>Sativex is not licenced for MS spasticity. 
What is the 1 year mortality in NYFH class :<br>a) 3<br>b) 4	a) 10 to 15%<br>b) 30 to 40%
What is the mode of action of riluzole ? 	Glutamate inhibitor 
What needs monitoring when starting riluzole? 	Liver function tests
What are the absolute contraindications to organ donation?	<div>Age &gt;85 years (on or after their 85th birthday)</div><div>Primary intra-cerebral lymphoma</div><div>All secondary intracerebral tumours</div><div>Any active cancer with evidence of spread outside affected organ within 3 years of donation</div><div>Melanoma (except completely excised Stage 1 cancers)</div><div>Active (not in remission) haematological malignancy (myeloma, lymphoma, leukaemia)</div><div>Definite, probable or possible case of human transmissible spongiform encephalopathy (TSE), including CJD and vCJD, individuals whose blood relatives have had familial CJD, other neurodegenerative diseases associated with infectious agents.</div><div>TB: active and untreated</div><div>West Nile Virus (WNV) infection</div><div>HIV disease (but not HIV infection)&nbsp;</div>
For what period of time would a personal licence be required for controlled drugs?	3 months
How long prior to travel should you apply for a licence to carry controlled drugs?	10 days
What supersedes an ARDT?	If there is a Personal health and Welfare LPA made and registered <b>after</b>&nbsp;the ARDT.
According to the ONS, 'old age' can be given as the sole cause of death when?	- age &gt;80<div><div>- You have personally cared for the deceased over a long period (years, or many months)</div><div>- You have observed a gradual decline in your patient's general health and functioning</div><div>- You are not aware of any identifiable disease or injury that contributed to the death</div><div>- You are certain that there is no reason that the death should be reported to the coroner&nbsp;</div></div>
What is utilitarianism?	Consequence based theory that advocates an analysis of the overall good achieved by a given action.
What is&nbsp;Casuistry?	A theory which uses history, past paradigmatic cases and factual circumstances to determine appropriate decision making.
What is&nbsp;Deontology?	A philosophical theory which advocates that actions are morally right if they are consistent with a predetermined moral rule.
What are&nbsp;Virtue ethics?	A theory which emphasises the pursuit of virtuous characteristics by healthcare providers.
What is&nbsp;Kantian thought?	A theory which states that there are absolute moral requirements on actions that can be determined through the use of certain categorical imperatives.
Who can register a death?	<div>- relatives of the deceased,</div><div>- someone present at the death,</div><div>- an administrator from the hospital,</div><div>- the person making arrangements with the funeral directors.</div>
What would make an ADRT invalid?	<div>- The person withdrew the decision while they still had capacity.</div><div>- After making the ADRT the person made a Lasting Power of Attorney (LPA) giving an attorney authority to make treatment decisions that are the same as those covered by the advance decision.</div><div>- The person has done something that clearly goes against the advance decision which suggests that they have changed their mind.</div>
Which scenarios would an ADRT <b>not </b>apply?	<div>- Patient still has capacity.</div><div>- If the proposed treatment is not the treatment specified in the advance decisions.</div><div>- If the circumstances are different from those set out in the advance decision.</div><div>- If there are reasonable grounds for believing that there have been changes in circumstance, which would have affected the decision if the person had known about them at the time they made the advance decision.</div>
What is the legal definition of NoK?	There isn't one.&nbsp;Next of kin has no legal meaning but, in practice, hospitals and other organisations generally recognise spouses and close blood relatives as next of kin.
What do the UK ambulance service clinical practice guidelines say about the circumstances in which they can withold CPR?	<div>If:</div><div>- A formal DNAR order is in place</div><div>- The patient is in the final stages of a terminal illness where death is imminent and unavoidable and CPR would not be successful, but for whom no formal DNAR decision has been made</div><div>- An Advance Decision (Living Will) has been accepted by the treating physician (patient’s GP or hospital Consultant) as a DNAR order</div>
Who inherits if there is no will?	Spouse/Civil partner (must survive the deceased by at least 28 days)<div>Children - or next closest blood relative</div><div>Living parents (estate is split between them)</div><div><br /></div>
What are the main contraindications for&nbsp;ocular tissue transplantation?	<div>Infection: (HIV, Hep A, B, C, syphilis, behaviour leading to increased risk of HIV, Hep B and C, viral encephalitis, viral meningitis, rabies, congenital rubella, tuberculosis, Reyes syndrome, PML, septicaemia (answer C), active malaria).</div><div><br /></div><div>Previous surgery: receipt of an organ transplant, receipt of dura mater/spinal surgery before August 1992, receipt of pituitary derived hormones, receipt of a corneal, sceral or limbal graft.</div><div><br /></div><div>Unknown aetiology and CNS disorders: death from an unknown cause, CJD and CNS disease of unknown aetiology [Alzheimer's disease, other dementias, Parkinson's disease, MS], MND, ME.</div><div><br /></div><div>Malignancies and Pre-malignancies: Leukaemia, lymphoma, myeloma, sideroblastic anaemia, polycythaemia rubra vera</div><div><br /></div><div>Eye Disease: Ocular inflammation (including extra-articular manifestations of autoimmune disease), any congenital or acquired disorders of the eye, or corneal refractive surgery that would preclude successful graft outcome, retinoblastoma, malignant tumours of the anterior segment.</div>
What are the different theories of learning?	Humanistic:&nbsp;each individual is unique and has a desire to grow positively. Assumes a hierarchy of need which motivates.<div><br /><div>Behaviourist:Learning is in response to external stimuli without any intention by the learner. Focuses on positive reinforcement and repetition to change behaviour.</div></div><div><br /></div><div>Cognitive:&nbsp;Considers cognition to be the key to learning.</div><div><br /></div><div>Social:&nbsp;Much learning is by observation, other individuals provide role models for how we think, feel and act, and their influence should not be underestimated.</div><div><br /></div><div>Psychodynamic:&nbsp;past experiences and internal forces such as emotional conflicts and ego shape motivation and learning.</div>
What can an IMCA do?	Has the authority to make enquiries about the patient and contribute to the decision by representing the patient's interests, but <b>cannot make a decision on behalf of the patient</b>.
How is a clinical risk rating calculated?	Risk score = consequence score x likelihood score<div><br /></div><div>It's a probablity of a bad thing occuring often.</div>
What are the major categories of clinical governance?	<div>Accountability</div><div>Clinical Audit</div><div>Clinical risk management</div><div>Clinical effectiveness</div><div>Continuing professional development</div><div>Patient and Public involvement</div><div>Managing information</div>
What does CURB-65 stand for?	<p>C = confusion</p><p>U = urea &gt;7</p><p>R = respiratory rate &gt;30</p><p>B = Diastolic BP &lt;60</p><p>65 = age over 65</p>
In the context of neurological disease and urinary incontinence, to whom should urodynamic studies should be offered according to NICE?	<p>Patient groups who are known to have a high risk of renal complications:</p><p>- spina bifida</p><p>- spinal cord injury</p><p>- anorectal abnormalities</p>
In the context of neurological disease and urinary incontinence, to whom should urodynamic studies&nbsp;not be&nbsp;offered to according to NICE?	<p>Patient groups with a low risk of renal complications:</p><p>- most people with multiple sclerosis</p>
According to NICE, to whom should anti-muscarinic drugs be offered in urinary incontinence in the context of a neurological disorder?	Patient with spinal cord disease (for example, spinal cord injury or multiple sclerosis) <strong>and </strong>symptoms of an overactive bladder such as increased frequency, urgency and incontinence. 
According to NICE, to whom should anti-muscarinic drugs be considered in urinary incontinence in the context of a neurological disorder?	Patients with conditions affecting the brain (for example, cerebral palsy, head injury or stroke) <strong>and</strong> symptoms of an overactive bladder. 
"<p>A patient with a neuromuscular disorder was referred for urodynamic studies for investigation of their urinary incontinence. The report of the study showed impaired bladder storage.</p><p>&nbsp;</p><p>According to NICE '<a title=""View CG148 at NICE website"" href=""http://www.nice.org.uk/guidance/CG148"" target=""_blank"">Urinary incontinence in neurological disease</a> (2012)', what pharmacological treatment should be considered?</p>"	Anti-muscarinic agent.
"According to '<a title=""View CG148 at NICE website"" href=""http://www.nice.org.uk/guidance/CG148"" target=""_blank"">Urinary incontinence in neurological disease</a> (2012)', NICE, when should botulinin A toxin be offered?"	<p>Adults with spinal cord disease (for example, spinal cord injury and multiple sclerosis) <strong>and</strong> with symptoms of an overactive bladder <strong>and</strong> in whom antimuscarinic drugs have proved to be ineffective or poorly tolerated.</p><p>&nbsp;</p><p>Adults with spinal cord disease <strong>and</strong> with urodynamics showing impaired bladder storage <strong>and</strong> in whom antimuscarinic drugs have proved to be ineffective or poorly tolerated.</p>
"According to '<a title=""View CG148 at NICE website"" href=""http://www.nice.org.uk/guidance/CG148"" target=""_blank"">Urinary incontinence in neurological disease</a> (2012)', NICE, what should be explained to the patient and family prior to offering botulinin toxin A?"	A&nbsp;catheterisation regimen is needed in most people with neurogenic lower urinary tract dysfunction after treatment <strong>and</strong> ensure that they are able and willing to manage such a regimen should urinary retention develop after the treatment.
"According to <a title=""View CG148 at NICE website"" href=""http://www.nice.org.uk/guidance/CG148"" target=""_blank"">Urinary incontinence in neurological disease</a> (2012), NICE, when should augmentation cystoscopy be considered?"	In patient groups with non-progressive neurological disorders <strong>and</strong> complications of impaired bladder storage (for example, hydronephrosis or incontinence) <strong>and</strong> only after a thorough clinical and urodynamic assessment and discussion with the patient and/or their family members and carers about complications, risks and alternative treatments. 
